"Airports";"Periods";"Aircraft movements/Cross-country flights (number)";"Aircraft movements/Local flights (number)";"Commercial air traffic/Flights/Arrivals/Total arrivals flights (number)";"Commercial air traffic/Flights/Arrivals/Scheduled (number)";"Commercial air traffic/Flights/Arrivals/Non-scheduled (number)";"Commercial air traffic/Flights/Departures/Total departures flights (number)";"Commercial air traffic/Flights/Departures/Scheduled (number)";"Commercial air traffic/Flights/Departures/Non-scheduled (number)";"Commercial air traffic/Passengers/Passenger arrivals/Total arrivals passengers (number)";"Commercial air traffic/Passengers/Passenger arrivals/Scheduled (number)";"Commercial air traffic/Passengers/Passenger arrivals/Non-scheduled (number)";"Commercial air traffic/Passengers/Passenger departures/Total departures passengers (number)";"Commercial air traffic/Passengers/Passenger departures/Scheduled (number)";"Commercial air traffic/Passengers/Passenger departures/Non-scheduled (number)";"Commercial air traffic/Passengers/Country of origin/destination/Total country of origin/destination (number)";"Commercial air traffic/Passengers/Country of origin/destination/Europe/Europe total (number)";"Commercial air traffic/Passengers/Country of origin/destination/Europe/EU countries (number)";"Commercial air traffic/Passengers/Country of origin/destination/Europe/Other Europe (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Total intercontinental passengers (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Africa/Africa (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Africa/North Africa (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Africa/West Africa (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Africa/Central Africa (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Africa/East Africa (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Africa/South Africa (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/America/America (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/America/North America (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/America/Central America (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/America/South America (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Asia/Asia (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Asia/West Asia (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Asia/South-East Asia (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Asia/North-East Asia (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Oceania (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Other/unknown (number)";"Commercial air traffic/Passengers/Country of origin/destination/Unknown (number)"
"Amsterdam Airport Schiphol";"2004 February";"   30155";"     235";"   14681";"   13754";"     927";"   14680";"   13784";"     896";" 1394302";" 1303888";"   90414";" 1436337";" 1338263";"   98074";" 2830639";" 1871583";" 1532901";"  338682";"  959056";"  164352";"   55753";"   31753";"    2093";"   40220";"   34533";"  461663";"  304170";"   92886";"   64607";"  333041";"   93775";"  133151";"  106115";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2004 March";"   33791";"     326";"   16366";"   15335";"    1031";"   16360";"   15349";"    1011";" 1656357";" 1549929";"  106428";" 1601316";" 1498619";"  102697";" 3257673";" 2172871";" 1774559";"  398312";" 1084802";"  169161";"   60773";"   34023";"    2382";"   35950";"   36033";"  552050";"  391921";"   94883";"   65246";"  363591";"  108120";"  134139";"  121332";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2004 April";"   33695";"     368";"   16335";"   15110";"    1225";"   16343";"   15115";"    1228";" 1693564";" 1580663";"  112901";" 1786521";" 1626498";"  160023";" 3480085";" 2380283";" 1902359";"  477924";" 1099802";"  149863";"   57955";"   33092";"    2794";"   27336";"   28686";"  580724";"  431104";"   88250";"   61370";"  369215";"  119625";"  123333";"  126257";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2004 May";"   36903";"     372";"   17851";"   15883";"    1968";"   17846";"   15888";"    1958";" 1932881";" 1674436";"  258445";" 1910390";" 1644988";"  265402";" 3843271";" 2729841";" 2091874";"  637967";" 1113430";"  137540";"   53496";"   30766";"    2800";"   27247";"   23231";"  615433";"  467876";"   88431";"   59126";"  360457";"  114456";"  118529";"  127472";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2004 June";"   36061";"     345";"   17426";"   15721";"    1705";"   17439";"   15722";"    1717";" 1893565";" 1685573";"  207992";" 1903396";" 1684197";"  219199";" 3796961";" 2662991";" 2073742";"  589249";" 1133970";"  136168";"   41989";"   29629";"    2892";"   38362";"   23296";"  623784";"  485477";"   82603";"   55704";"  374018";"  118316";"  121015";"  134687";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2004 July";"   37832";"     329";"   18449";"   16289";"    2160";"   18463";"   16279";"    2184";" 2033995";" 1739916";"  294079";" 2303772";" 1915466";"  388306";" 4337767";" 3039462";" 2253947";"  785515";" 1298305";"  187039";"   70248";"   35190";"    3440";"   49518";"   28643";"  679539";"  508639";"  100687";"   70213";"  431727";"  141364";"  143510";"  146853";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2004 August";"   37520";"     315";"   18353";"   16196";"    2157";"   18343";"   16178";"    2165";" 2223513";" 1863115";"  360398";" 2020117";" 1726780";"  293337";" 4243630";" 2935092";" 2222331";"  712761";" 1308538";"  192101";"   73468";"   37107";"    3059";"   49470";"   28997";"  677807";"  505707";"  102213";"   69887";"  438630";"  150597";"  141111";"  146922";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2004 September";"   36625";"     350";"   17671";"   16018";"    1653";"   17659";"   16006";"    1653";" 1954521";" 1729471";"  225050";" 1972681";" 1742827";"  229854";" 3927202";" 2731010";" 2109650";"  621360";" 1196192";"  177377";"   63196";"   34731";"    3230";"   46984";"   29236";"  624841";"  471966";"   86177";"   66698";"  393974";"  118199";"  124670";"  151105";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2004 October";"   37678";"     364";"   18242";"   16283";"    1959";"   18239";"   16281";"    1958";" 1979928";" 1712464";"  267464";" 1935368";" 1709027";"  226341";" 3915296";" 2714635";" 2053667";"  660968";" 1200661";"  185928";"   71049";"   33769";"    2400";"   47036";"   31674";"  613923";"  452577";"   93447";"   67899";"  400810";"  116294";"  132466";"  152050";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2004 November";"   32627";"     270";"   15828";"   14870";"     958";"   15818";"   14888";"     930";" 1545102";" 1457545";"   87557";" 1542294";" 1462727";"   79567";" 3087396";" 2017426";" 1625522";"  391904";" 1069970";"  166456";"   53543";"   36190";"    1004";"   38541";"   37178";"  532964";"  381602";"   91192";"   60170";"  370550";"   92920";"  146895";"  130735";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2004 December";"   31534";"     207";"   15319";"   14375";"     944";"   15265";"   14344";"     921";" 1445136";" 1383700";"   61436";" 1518656";" 1437612";"   81044";" 2963792";" 1866050";" 1500622";"  365428";" 1097742";"  168605";"   50686";"   40625";"    1205";"   39581";"   36508";"  556277";"  398678";"   93209";"   64390";"  372860";"  102584";"  152514";"  117762";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2005 January";"   31259";"     258";"   15147";"   14194";"     953";"   15206";"   14240";"     966";" 1488217";" 1397930";"   90287";" 1467575";" 1379619";"   87956";" 2955792";" 1826971";" 1544187";"  282784";" 1128821";"  181467";"   56737";"   41176";"     977";"   46227";"   36350";"  555620";"  379849";"  105111";"   70660";"  391734";"   93044";"  173174";"  125516";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2005 February";"   29473";"     235";"   14289";"   13312";"     977";"   14290";"   13324";"     966";" 1407350";" 1322565";"   84785";" 1422575";" 1332806";"   89769";" 2829925";" 1829433";" 1562169";"  267264";" 1000492";"  170360";"   57265";"   34716";"     754";"   44141";"   33484";"  486368";"  329740";"   93707";"   62921";"  343764";"   81494";"  146612";"  115658";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2005 March";"   32777";"     238";"   15912";"   14851";"    1061";"   15915";"   14868";"    1047";" 1646577";" 1554196";"   92381";" 1634618";" 1541041";"   93577";" 3281195";" 2137360";" 1817173";"  320187";" 1143835";"  188169";"   65889";"   40515";"    1038";"   43557";"   37170";"  578847";"  422085";"   93632";"   63130";"  376819";"   97613";"  145925";"  133281";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2005 April";"   34906";"     264";"   16862";"   15651";"    1211";"   16877";"   15670";"    1207";" 1735488";" 1641284";"   94204";" 1812523";" 1666741";"  145782";" 3548011";" 2388567";" 2000129";"  388438";" 1159444";"  172259";"   68467";"   39327";"    1000";"   32880";"   30585";"  595823";"  452401";"   83728";"   59694";"  391362";"  105003";"  141301";"  145058";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2005 May";"   37799";"     304";"   18344";"   16380";"    1964";"   18329";"   16375";"    1954";" 2027863";" 1768023";"  259840";" 2031785";" 1761275";"  270510";" 4059648";" 2867159";" 2278939";"  588220";" 1192489";"  166992";"   70824";"   36648";"     688";"   32840";"   25992";"  645783";"  501468";"   88225";"   56090";"  379714";"  105519";"  129437";"  144758";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2005 June";"   36606";"     319";"   17622";"   16062";"    1560";"   17617";"   16061";"    1556";" 1952478";" 1758384";"  194094";" 1988697";" 1781268";"  207429";" 3941175";" 2724670";" 2223836";"  500834";" 1216505";"  166320";"   55652";"   34825";"     850";"   47640";"   27353";"  663236";"  519154";"   85803";"   58279";"  386949";"  105792";"  131961";"  149196";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2005 July";"   38212";"     350";"   18620";"   16408";"    2212";"   18636";"   16427";"    2209";" 2122109";" 1835188";"  286921";" 2406485";" 2010922";"  395563";" 4528594";" 3134037";" 2450487";"  683550";" 1394557";"  216677";"   87714";"   39938";"     914";"   56048";"   32063";"  731989";"  552955";"  103862";"   75172";"  445891";"  130270";"  154843";"  160778";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2005 August";"   38182";"     411";"   18647";"   16483";"    2164";"   18635";"   16478";"    2157";" 2319924";" 1955626";"  364298";" 2113227";" 1823117";"  290110";" 4433151";" 3050034";" 2418509";"  631525";" 1383117";"  220048";"   86721";"   42037";"     945";"   56961";"   33384";"  719438";"  538359";"  103791";"   77288";"  443631";"  132309";"  152567";"  158755";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2005 September";"   36881";"     293";"   17861";"   16161";"    1700";"   17851";"   16155";"    1696";" 2069173";" 1840241";"  228932";" 2076564";" 1848891";"  227673";" 4145737";" 2875493";" 2361466";"  514027";" 1270244";"  194959";"   69438";"   38216";"     915";"   54144";"   32246";"  659116";"  505014";"   81827";"   72275";"  416169";"  109975";"  143016";"  163178";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2005 October";"   37503";"     314";"   18166";"   16323";"    1843";"   18155";"   16307";"    1848";" 2064136";" 1802536";"  261600";" 2012996";" 1793949";"  219047";" 4077132";" 2848214";" 2291154";"  557060";" 1228918";"  197728";"   72472";"   34312";"     731";"   55466";"   34747";"  627559";"  461448";"   95026";"   71085";"  403631";"   99092";"  148304";"  156235";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2005 November";"   32582";"     258";"   15736";"   14920";"     816";"   15746";"   14941";"     805";" 1594271";" 1525042";"   69229";" 1604248";" 1539658";"   64590";" 3198519";" 2097811";" 1802558";"  295253";" 1100708";"  179056";"   61303";"   33761";"       0";"   47774";"   36218";"  535889";"  378350";"   90448";"   67091";"  385763";"   96394";"  151088";"  138281";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2005 December";"   31084";"     225";"   15089";"   14265";"     824";"   15042";"   14244";"     798";" 1499625";" 1442630";"   56995";" 1579035";" 1507671";"   71364";" 3078660";" 1966719";" 1682176";"  284543";" 1111941";"  181502";"   56084";"   37426";"       0";"   51333";"   36659";"  546925";"  383406";"   95141";"   68378";"  383514";"  102483";"  157100";"  123931";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2006 January";"   31271";"     254";"   15130";"   14304";"     826";"   15169";"   14356";"     813";" 1529682";" 1451489";"   78193";" 1498525";" 1427755";"   70770";" 3028207";" 1887313";" 1603742";"  283571";" 1140894";"  193679";"   60089";"   36244";"      50";"   59218";"   38078";"  544084";"  371176";"  103180";"   69728";"  403131";"   96590";"  177102";"  129439";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2006 February";"   29164";"     253";"   14201";"   13383";"     818";"   14202";"   13405";"     797";" 1408888";" 1336772";"   72116";" 1449556";" 1370016";"   79540";" 2858444";" 1864229";" 1605571";"  258658";"  994215";"  173797";"   56900";"   28553";"     191";"   53841";"   34312";"  458786";"  305549";"   93141";"   60096";"  361632";"   81566";"  157869";"  122197";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2006 March";"   34129";"     287";"   16522";"   15664";"     858";"   16522";"   15713";"     809";" 1715453";" 1631041";"   84412";" 1683862";" 1601050";"   82812";" 3399315";" 2226476";" 1910755";"  315721";" 1172839";"  189198";"   70004";"   34572";"       0";"   49842";"   34780";"  570315";"  413688";"   93030";"   63597";"  413326";"  103862";"  163665";"  145799";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2006 April";"   35799";"     261";"   17345";"   16201";"    1144";"   17353";"   16206";"    1147";" 1861980";" 1762720";"   99260";" 1947014";" 1797660";"  149354";" 3808994";" 2588631";" 2202036";"  386595";" 1220363";"  183725";"   75665";"   36065";"       0";"   42023";"   29972";"  609319";"  456343";"   92206";"   60770";"  427319";"  116177";"  160960";"  150182";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2006 May";"   39444";"     362";"   19075";"   17110";"    1965";"   19071";"   17111";"    1960";" 2091783";" 1843832";"  247951";" 2084314";" 1825786";"  258528";" 4176097";" 2962123";" 2470933";"  491190";" 1213974";"  172949";"   72715";"   35739";"       0";"   40764";"   23731";"  636673";"  494110";"   84570";"   57993";"  404352";"  102963";"  149916";"  151473";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2006 June";"   38852";"     346";"   18761";"   16900";"    1861";"   18765";"   16905";"    1860";" 2110234";" 1876366";"  233868";" 2118093";" 1874874";"  243219";" 4228327";" 2965843";" 2479775";"  486068";" 1262484";"  178628";"   62467";"   35921";"       0";"   55109";"   25131";"  663559";"  514221";"   87709";"   61629";"  420297";"  111953";"  154966";"  153378";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2006 July";"   40336";"     388";"   19649";"   17151";"    2498";"   19641";"   17169";"    2472";" 2219591";" 1908437";"  311154";" 2524848";" 2103319";"  421529";" 4744439";" 3331417";" 2696275";"  635142";" 1413022";"  240440";"   98422";"   43031";"       0";"   70373";"   28614";"  710651";"  535846";"  100061";"   74744";"  461931";"  129971";"  169610";"  162350";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2006 August";"   40077";"     346";"   19516";"   17214";"    2302";"   19520";"   17169";"    2351";" 2417135";" 2038500";"  378635";" 2191035";" 1886096";"  304939";" 4608170";" 3198583";" 2585910";"  612673";" 1409587";"  246900";"  100216";"   43530";"       0";"   70031";"   33123";"  695525";"  524341";"   97700";"   73484";"  467162";"  136930";"  165451";"  164781";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2006 September";"   38804";"     363";"   18760";"   16854";"    1906";"   18761";"   16845";"    1916";" 2151366";" 1897312";"  254054";" 2144008";" 1894479";"  249529";" 4295374";" 3002208";" 2508833";"  493375";" 1293166";"  209745";"   74456";"   38866";"     127";"   62423";"   33873";"  650258";"  496520";"   84030";"   69708";"  433163";"  102557";"  158376";"  172230";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2006 October";"   39598";"     404";"   19212";"   17508";"    1704";"   19201";"   17551";"    1650";" 2118890";" 1901265";"  217625";" 2082583";" 1906920";"  175663";" 4201473";" 2921557";" 2430627";"  490930";" 1279916";"  214466";"   78382";"   37239";"      48";"   62878";"   35919";"  635102";"  472517";"   92210";"   70375";"  430348";"   97587";"  163162";"  169599";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2006 November";"   35503";"     333";"   17187";"   16379";"     808";"   17159";"   16398";"     761";" 1683436";" 1613516";"   69920";" 1669839";" 1608340";"   61499";" 3353275";" 2229054";" 1917284";"  311770";" 1124221";"  190935";"   65241";"   35410";"     203";"   53484";"   36597";"  541302";"  377671";"   95049";"   68582";"  391984";"   85526";"  160249";"  146209";"       0";"       0";"       0"
